SUBAREA,YEARU,CW,jd,PRICEPPND
16,2010,1,8,280.833333333333
17,2010,1,8,250.222222222222
18,2010,1,8,262.692307692308
19,2010,1,8,280.833333333333
20,2010,1,8,280.833333333333
21,2010,1,8,287.391304347826
11,2011,1,8,343.75
12,2011,1,8,101.666666666667
13,2011,1,8,85
14,2011,1,8,98.3333333333333
15,2011,1,8,114.166666666667
17,2011,1,8,165.6
18,2011,1,8,92.8
19,2011,1,8,293.4
11,2007,2,8,197
13,2007,2,8,116.923076923077
14,2007,2,8,87.05
16,2007,2,8,379.444444444444
17,2007,2,8,137.266666666667
18,2007,2,8,143.375
20,2007,2,8,340
21,2007,2,8,354.117647058824
13,2004,1,9,78.7916666666667
14,2004,1,9,150.272727272727
15,2004,1,9,40
16,2004,1,9,35
20,2004,1,9,296.5
21,2004,1,9,414.285714285714
12,2005,1,9,100
13,2005,1,9,65.5
15,2005,1,9,224
11,2008,1,9,351
12,2008,1,9,60
13,2008,1,9,162.941176470588
14,2008,1,9,90.2941176470588
15,2008,1,9,85
16,2008,1,9,145.769230769231
17,2008,1,9,285.7
18,2008,1,9,57
21,2008,1,9,406.1
11,2009,1,9,207
12,2009,1,9,126.111111111111
13,2009,1,9,135.833333333333
14,2009,1,9,92.5
15,2009,1,9,107.5
17,2009,1,9,205
18,2010,1,9,45
19,2010,1,9,227.666666666667
11,2011,1,9,355
13,2011,1,9,311.2
15,2011,1,9,120
18,2011,1,9,77
11,2006,2,9,189.444444444444
12,2006,2,9,85.625
13,2006,2,9,112.555555555556
14,2006,2,9,88.448275862069
15,2006,2,9,132.105263157895
16,2006,2,9,129
17,2006,2,9,193
18,2006,2,9,138
19,2006,2,9,277.375
21,2006,2,9,250
13,2007,2,9,128.90625
14,2007,2,9,282.058823529412
15,2007,2,9,133
17,2007,2,9,102.416666666667
21,2007,2,9,275.555555555556
11,2004,1,10,188.5
13,2004,1,10,38.3333333333333
14,2004,1,10,60
15,2004,1,10,67
18,2004,1,10,155.222222222222
21,2004,1,10,432.857142857143
11,2008,1,10,266.738095238095
12,2008,1,10,60
13,2008,1,10,166.25
14,2008,1,10,83.3333333333333
15,2008,1,10,180
18,2008,1,10,77.625
20,2008,1,10,428.125
21,2008,1,10,428.125
11,2009,1,10,190
12,2009,1,10,320
13,2009,1,10,78.5365853658537
14,2009,1,10,76.6666666666667
15,2009,1,10,152.5
16,2009,1,10,153.333333333333
18,2009,1,10,165
17,2010,1,10,253.333333333333
18,2010,1,10,45
11,2005,2,10,330
12,2005,2,10,65
13,2005,2,10,99.1304347826087
14,2005,2,10,162.62962962963
15,2005,2,10,67.8571428571429
16,2005,2,10,45
17,2005,2,10,174.909090909091
18,2005,2,10,306.105263157895
19,2005,2,10,237.5
11,2006,2,10,215.833333333333
12,2006,2,10,96.6666666666667
13,2006,2,10,137.093023255814
14,2006,2,10,102.5
15,2006,2,10,125.5
16,2006,2,10,156.666666666667
18,2006,2,10,148.333333333333
19,2006,2,10,285
20,2006,2,10,325
21,2006,2,10,312.5
13,2007,2,10,63.8888888888889
14,2007,2,10,70
15,2007,2,10,105
17,2007,2,10,102.777777777778
18,2007,2,10,67
19,2007,2,10,100
11,2011,2,10,560
12,2011,2,10,105
13,2011,2,10,124.666666666667
14,2011,2,10,95.8333333333333
17,2011,2,10,199.216216216216
18,2011,2,10,336.846153846154
19,2011,2,10,405.3
21,2011,2,10,420.852941176471
11,2004,1,11,205
12,2004,1,11,256
13,2004,1,11,30.1666666666667
14,2004,1,11,58
15,2004,1,11,141.714285714286
18,2004,1,11,103
11,2008,1,11,120
13,2008,1,11,131.25
15,2008,1,11,108.333333333333
17,2008,1,11,257.944444444444
18,2008,1,11,72.8888888888889
21,2008,1,11,491.923076923077
12,2009,1,11,87.5
13,2009,1,11,125
14,2009,1,11,96.25
11,2005,2,11,265.333333333333
13,2005,2,11,71.5294117647059
14,2005,2,11,103.666666666667
15,2005,2,11,104.166666666667
16,2005,2,11,73.6363636363636
17,2005,2,11,181.529411764706
18,2005,2,11,313.75
19,2005,2,11,290
12,2006,2,11,110
13,2006,2,11,120.666666666667
14,2006,2,11,105
15,2006,2,11,118.333333333333
17,2006,2,11,160
18,2006,2,11,139.461538461538
19,2006,2,11,332
20,2006,2,11,390
11,2007,2,11,223.75
13,2007,2,11,95
14,2007,2,11,100
15,2007,2,11,117.5
17,2007,2,11,42
18,2007,2,11,78.5
19,2007,2,11,287
20,2007,2,11,260.9375
21,2007,2,11,301.6
11,2010,2,11,216.25
12,2010,2,11,100
13,2010,2,11,75
14,2010,2,11,68.9285714285714
15,2010,2,11,132.5
17,2010,2,11,227.7
18,2010,2,11,169.666666666667
19,2010,2,11,194.6
11,2011,2,11,256
12,2011,2,11,105
13,2011,2,11,161.8
14,2011,2,11,418.333333333333
15,2011,2,11,382.857142857143
16,2011,2,11,461.363636363636
17,2011,2,11,387.1875
18,2011,2,11,428.583333333333
19,2011,2,11,460.833333333333
21,2011,2,11,415.444444444444
13,2008,1,12,193.4375
14,2008,1,12,64
15,2008,1,12,135
17,2008,1,12,130
18,2008,1,12,113
21,2008,1,12,423.333333333333
12,2004,2,12,170
13,2004,2,12,94.4318181818182
14,2004,2,12,67.8947368421053
15,2004,2,12,294.090909090909
16,2004,2,12,31.8333333333333
17,2004,2,12,153.083333333333
18,2004,2,12,526.428571428571
11,2005,2,12,254.166666666667
13,2005,2,12,164.411764705882
14,2005,2,12,96.3636363636364
15,2005,2,12,190.357142857143
16,2005,2,12,54.2307692307692
17,2005,2,12,305.75
18,2005,2,12,180.333333333333
19,2005,2,12,303.125
20,2005,2,12,422.222222222222
21,2005,2,12,397.5
11,2006,2,12,224.642857142857
12,2006,2,12,99.0740740740741
13,2006,2,12,106.666666666667
14,2006,2,12,98.8888888888889
15,2006,2,12,147.142857142857
16,2006,2,12,62.5
17,2006,2,12,276
18,2006,2,12,426.363636363636
19,2006,2,12,370
20,2006,2,12,395.5
21,2006,2,12,378.571428571429
12,2007,2,12,70
13,2007,2,12,105.740740740741
14,2007,2,12,73.3333333333333
15,2007,2,12,293.04347826087
16,2007,2,12,360.5
17,2007,2,12,225.911764705882
18,2007,2,12,327.130434782609
19,2007,2,12,230.75
20,2007,2,12,280.789473684211
21,2007,2,12,323.75
11,2009,2,12,175.833333333333
12,2009,2,12,639
13,2009,2,12,126.666666666667
14,2009,2,12,289.5
15,2009,2,12,130
17,2009,2,12,157.433333333333
18,2009,2,12,350.454545454545
19,2009,2,12,346.08
21,2009,2,12,305.526315789474
11,2010,2,12,155
13,2010,2,12,62.1428571428571
14,2010,2,12,99.1666666666667
15,2010,2,12,78.3333333333333
16,2010,2,12,50
17,2010,2,12,131
19,2010,2,12,241
21,2010,2,12,243.5
11,2011,2,12,152.5
12,2011,2,12,105
13,2011,2,12,158.928571428571
14,2011,2,12,92.5
15,2011,2,12,100
16,2011,2,12,141
17,2011,2,12,331.12
19,2011,2,12,440.692307692308
20,2011,2,12,464.888888888889
21,2011,2,12,400.75
11,2008,1,13,424.15
13,2008,1,13,64.3333333333333
18,2008,1,13,72.5
21,2008,1,13,407.684210526316
11,2004,2,13,252.6
12,2004,2,13,209.375
13,2004,2,13,178.647058823529
14,2004,2,13,82.9444444444444
15,2004,2,13,317.529411764706
16,2004,2,13,101.181818181818
17,2004,2,13,115
11,2005,2,13,290.939393939394
12,2005,2,13,90
13,2005,2,13,183.818181818182
14,2005,2,13,107.444444444444
15,2005,2,13,326.764705882353
16,2005,2,13,161.25
18,2005,2,13,314.0625
19,2005,2,13,365.230769230769
21,2005,2,13,364.242424242424
11,2006,2,13,264.677419354839
12,2006,2,13,217
13,2006,2,13,111
14,2006,2,13,103.125
15,2006,2,13,125
18,2006,2,13,178.285714285714
19,2006,2,13,280.125
20,2006,2,13,343.888888888889
21,2006,2,13,356.666666666667
12,2007,2,13,107.5
13,2007,2,13,112.5
14,2007,2,13,225
15,2007,2,13,61.6666666666667
17,2007,2,13,170.5
18,2007,2,13,45
19,2007,2,13,221
21,2007,2,13,292.5
11,2009,2,13,199.117647058824
12,2009,2,13,90
13,2009,2,13,87.9310344827586
14,2009,2,13,95
15,2009,2,13,172.928571428571
17,2009,2,13,161.777777777778
18,2009,2,13,140
19,2009,2,13,244.555555555556
11,2010,2,13,155
12,2010,2,13,125
13,2010,2,13,117.5
14,2010,2,13,144.666666666667
17,2010,2,13,224.75
18,2010,2,13,262.75
19,2010,2,13,262.75
20,2010,2,13,289.705882352941
21,2010,2,13,279.166666666667
11,2011,2,13,184.166666666667
12,2011,2,13,105
13,2011,2,13,79
14,2011,2,13,92.5
15,2011,2,13,170
17,2011,2,13,240.444444444444
21,2011,2,13,411.477272727273
12,2004,2,14,296
13,2004,2,14,102.625
14,2004,2,14,213
15,2004,2,14,90.25
16,2004,2,14,101.666666666667
17,2004,2,14,169.833333333333
18,2004,2,14,430.9
11,2005,2,14,168.333333333333
13,2005,2,14,154.166666666667
14,2005,2,14,223.222222222222
15,2005,2,14,160
16,2005,2,14,183.75
18,2005,2,14,294.2
19,2005,2,14,256
11,2006,2,14,299.066666666667
12,2006,2,14,76.6666666666667
13,2006,2,14,88.8888888888889
14,2006,2,14,108.333333333333
15,2006,2,14,143.529411764706
17,2006,2,14,315.625
18,2006,2,14,89
19,2006,2,14,300.5
20,2006,2,14,325
11,2007,2,14,270
13,2007,2,14,123.888888888889
17,2007,2,14,199.666666666667
21,2007,2,14,273.571428571429
11,2008,2,14,261.95652173913
13,2008,2,14,158.409090909091
14,2008,2,14,132.785714285714
15,2008,2,14,119.047619047619
16,2008,2,14,131.666666666667
17,2008,2,14,322.769230769231
18,2008,2,14,320.346153846154
19,2008,2,14,406.1
20,2008,2,14,379.809523809524
21,2008,2,14,379.809523809524
11,2009,2,14,292.586206896552
12,2009,2,14,192
13,2009,2,14,90.6875
14,2009,2,14,98
15,2009,2,14,131.875
17,2009,2,14,181.090909090909
19,2009,2,14,174
21,2009,2,14,248.333333333333
11,2010,2,14,209
13,2010,2,14,65
14,2010,2,14,55.7142857142857
15,2010,2,14,145
16,2010,2,14,91.25
17,2010,2,14,187.8
21,2010,2,14,225.789473684211
12,2011,2,14,105
13,2011,2,14,87.0555555555556
14,2011,2,14,274.086956521739
15,2011,2,14,501.4
16,2011,2,14,501.4
17,2011,2,14,377.25
18,2011,2,14,378.857142857143
19,2011,2,14,493.666666666667
20,2011,2,14,501.4
21,2011,2,14,385.666666666667
11,2004,2,15,353.333333333333
13,2004,2,15,101.533333333333
14,2004,2,15,193.769230769231
15,2004,2,15,100.090909090909
16,2004,2,15,46.6666666666667
17,2004,2,15,97.5714285714286
18,2004,2,15,350
19,2004,2,15,330
21,2004,2,15,345.714285714286
13,2005,2,15,98.75
15,2005,2,15,222.5
16,2005,2,15,178.333333333333
19,2005,2,15,395
21,2005,2,15,422.222222222222
12,2006,2,15,113.714285714286
13,2006,2,15,101.666666666667
15,2006,2,15,125
17,2006,2,15,95
11,2008,2,15,310
13,2008,2,15,84.0740740740741
14,2008,2,15,53.75
15,2008,2,15,40
16,2008,2,15,482.857142857143
17,2008,2,15,345.611111111111
18,2008,2,15,64.375
20,2008,2,15,425.607142857143
21,2008,2,15,430.723404255319
11,2009,2,15,198.947368421053
12,2009,2,15,135
13,2009,2,15,94.2857142857143
14,2009,2,15,191.166666666667
15,2009,2,15,114.166666666667
16,2009,2,15,155.909090909091
17,2009,2,15,170
18,2009,2,15,114
19,2009,2,15,289.44
20,2009,2,15,286.666666666667
21,2009,2,15,322.183908045977
11,2010,2,15,128
13,2010,2,15,114.285714285714
14,2010,2,15,250
15,2010,2,15,122.5
16,2010,2,15,80
17,2010,2,15,197.5
18,2010,2,15,218.75
21,2010,2,15,280
12,2011,2,15,105
13,2011,2,15,80.4347826086957
14,2011,2,15,76.25
17,2011,2,15,273
18,2011,2,15,151.25
11,2007,3,15,210
12,2007,3,15,207.777777777778
13,2007,3,15,121.805555555556
14,2007,3,15,91.0869565217391
17,2007,3,15,169.666666666667
20,2007,3,15,326.057692307692
21,2007,3,15,304.833333333333
11,2004,2,16,235
12,2004,2,16,182.5
13,2004,2,16,81.2647058823529
14,2004,2,16,136.875
15,2004,2,16,131.085714285714
16,2004,2,16,40
17,2004,2,16,158.103448275862
19,2004,2,16,384
21,2004,2,16,344.6875
21,2005,2,16,360
11,2008,2,16,376.447368421053
13,2008,2,16,136.666666666667
14,2008,2,16,61.6666666666667
15,2008,2,16,75
16,2008,2,16,164.583333333333
17,2008,2,16,270.153846153846
20,2008,2,16,404.769230769231
21,2008,2,16,394
11,2009,2,16,208.8
12,2009,2,16,80
13,2009,2,16,95
15,2009,2,16,126
17,2009,2,16,155.333333333333
19,2009,2,16,224.6
14,2010,2,16,80
15,2010,2,16,139.25
13,2011,2,16,82.1739130434783
14,2011,2,16,83.75
17,2011,2,16,75
18,2011,2,16,86.25
11,2006,3,16,201
12,2006,3,16,97.6923076923077
13,2006,3,16,110.666666666667
14,2006,3,16,109.772727272727
15,2006,3,16,111.25
16,2006,3,16,140
17,2006,3,16,135.444444444444
18,2006,3,16,163.764705882353
19,2006,3,16,278.380952380952
20,2006,3,16,335.135135135135
21,2006,3,16,324.259259259259
13,2007,3,16,168.5
14,2007,3,16,81.6666666666667
15,2007,3,16,127.571428571429
16,2007,3,16,108
17,2007,3,16,75
19,2007,3,16,184.75
20,2007,3,16,368.5
13,2004,2,17,115.769230769231
14,2004,2,17,98.8888888888889
15,2004,2,17,149
16,2004,2,17,30
17,2004,2,17,212.2
18,2004,2,17,170.363636363636
11,2008,2,17,273.717948717949
12,2008,2,17,257.857142857143
13,2008,2,17,192.5
14,2008,2,17,265.238095238095
15,2008,2,17,75
17,2008,2,17,238.2
18,2008,2,17,243.2
19,2008,2,17,422
20,2008,2,17,394.763636363636
21,2008,2,17,416.620689655172
12,2009,2,17,1095
13,2009,2,17,66.25
14,2009,2,17,95.3571428571429
17,2009,2,17,163.428571428571
13,2010,2,17,60
15,2010,2,17,95
18,2010,2,17,173.333333333333
19,2010,2,17,226.5
21,2010,2,17,257
13,2005,3,17,138.958333333333
14,2005,3,17,329.806451612903
15,2005,3,17,159.090909090909
16,2005,3,17,248.357142857143
17,2005,3,17,365.611111111111
18,2005,3,17,418.142857142857
19,2005,3,17,368.75
20,2005,3,17,400
21,2005,3,17,391.774193548387
11,2006,3,17,414.470588235294
12,2006,3,17,352.851851851852
13,2006,3,17,361.823529411765
14,2006,3,17,84.4444444444444
15,2006,3,17,77.5
16,2006,3,17,125
17,2006,3,17,91.8
18,2006,3,17,343
19,2006,3,17,355.291666666667
20,2006,3,17,373.75
21,2006,3,17,336.585365853659
13,2007,3,17,232.083333333333
14,2007,3,17,91.5714285714286
15,2007,3,17,96.875
18,2007,3,17,68
19,2007,3,17,196.666666666667
11,2011,3,17,373.333333333333
13,2011,3,17,193.783783783784
14,2011,3,17,99.4
15,2011,3,17,75
17,2011,3,17,220.6
18,2011,3,17,405.230769230769
19,2011,3,17,423
20,2011,3,17,408.909090909091
21,2011,3,17,429.986666666667
11,2004,2,18,263.214285714286
13,2004,2,18,40
14,2004,2,18,425.153846153846
15,2004,2,18,95
20,2004,2,18,440.5
11,2008,2,18,352.294117647059
13,2008,2,18,87.5
14,2008,2,18,283.295454545455
17,2008,2,18,284
18,2008,2,18,67.5
19,2008,2,18,318.25
20,2008,2,18,407.567567567568
21,2008,2,18,402.173913043478
11,2009,2,18,160
12,2009,2,18,90
13,2009,2,18,103.035714285714
11,2005,3,18,333.978723404255
13,2005,3,18,49
14,2005,3,18,66.4285714285714
15,2005,3,18,123.833333333333
17,2005,3,18,221.916666666667
19,2005,3,18,293.727272727273
20,2005,3,18,433.529411764706
21,2005,3,18,392.571428571429
12,2006,3,18,103.5
13,2006,3,18,106.4
14,2006,3,18,296.071428571429
16,2006,3,18,365.357142857143
17,2006,3,18,302.833333333333
18,2006,3,18,355.210526315789
19,2006,3,18,216.5
20,2006,3,18,373.75
21,2006,3,18,281.904761904762
13,2007,3,18,124.090909090909
14,2007,3,18,97.5
17,2007,3,18,156.8
18,2007,3,18,68
19,2007,3,18,200
20,2007,3,18,308.888888888889
13,2010,3,18,95
18,2010,3,18,251.375
19,2010,3,18,315.694444444444
20,2010,3,18,278.888888888889
21,2010,3,18,355.555555555556
11,2011,3,18,100
13,2011,3,18,211.818181818182
14,2011,3,18,71.0714285714286
15,2011,3,18,111.111111111111
16,2011,3,18,106
17,2011,3,18,278.4
18,2011,3,18,352.375
19,2011,3,18,436.666666666667
20,2011,3,18,452.777777777778
21,2011,3,18,440.368421052632
13,2008,2,19,55
15,2008,2,19,81.4
17,2008,2,19,480.2
18,2008,2,19,343.727272727273
19,2008,2,19,423.555555555556
20,2008,2,19,416.666666666667
21,2008,2,19,440.648648648649
11,2004,3,19,325.782608695652
12,2004,3,19,337.5
13,2004,3,19,212.625
14,2004,3,19,282.1
16,2004,3,19,312.333333333333
17,2004,3,19,267.604651162791
18,2004,3,19,439
19,2004,3,19,281.782608695652
20,2004,3,19,370
11,2005,3,19,234.666666666667
13,2005,3,19,80
14,2005,3,19,303.863636363636
15,2005,3,19,41
16,2005,3,19,98.0909090909091
17,2005,3,19,143.857142857143
18,2005,3,19,480.5
19,2005,3,19,245.470588235294
20,2005,3,19,421
21,2005,3,19,479
